2026-06-18 12:57:25 | INFO     | outlier_detector | Outlier boxplot saved for 'TotalPrice': E:\DecodeLabs_Internship\application\backend\visualizations\outliers\TotalPrice_outliers.png
2026-06-18 12:57:25 | INFO     | outlier_detector | Outlier detection complete for 4 columns
2026-06-18 12:57:25 | INFO     | outlier_detector | Outlier report saved to: E:\DecodeLabs_Internship\application\backend\reports\eda\outlier_report.csv
2026-06-18 12:57:25 | INFO     | eda_pipeline    | [EDA] Step 'Outlier Detection' completed - Outlier report saved to reports/eda/outlier_report.csv
2026-06-18 12:57:25 | INFO     | eda_pipeline    | [EDA] Step 'Correlation Analysis' started
2026-06-18 12:57:25 | INFO     | correlation_analyzer | Starting correlation analysis...
2026-06-18 12:57:25 | INFO     | correlation_analyzer | Pearson correlation matrix calculated: (4, 4)
2026-06-18 12:57:25 | INFO     | correlation_analyzer | Spearman correlation matrix calculated: (4, 4)
2026-06-18 12:57:26 | INFO     | correlation_analyzer | Pearson correlation heatmap saved: E:\DecodeLabs_Internship\application\backend\visualizations\correlations\pearson_correlation_heatmap.png
2026-06-18 12:57:26 | INFO     | correlation_analyzer | Spearman correlation heatmap saved: E:\DecodeLabs_Internship\application\backend\visualizations\correlations\spearman_correlation_heatmap.png
2026-06-18 12:57:26 | INFO     | correlation_analyzer | Correlation analysis complete
2026-06-18 12:57:26 | INFO     | correlation_analyzer | Correlation reports saved to: E:\DecodeLabs_Internship\application\backend\reports\eda
2026-06-18 12:57:26 | INFO     | eda_pipeline    | [EDA] Step 'Correlation Analysis' completed - Correlation matrices saved to reports/eda/
2026-06-18 12:57:26 | INFO     | eda_pipeline    | [EDA] Step 'Categorical Analysis' started
2026-06-18 12:57:26 | INFO     | categorical_analyzer | Identified 11 categorical columns: ['OrderID', 'CustomerID', 'Product', 'ShippingAddress', 'PaymentMethod', 'OrderStatus', 'TrackingNumber', 'CouponCode', 'ReferralSource', 'Quantity', 'ItemsInCart']
2026-06-18 12:57:26 | INFO     | categorical_analyzer | Analyzing 11 categorical columns...
2026-06-18 12:57:27 | INFO     | categorical_analyzer | Bar chart saved for 'OrderID': E:\DecodeLabs_Internship\application\backend\visualizations\categorical\OrderID_bar_chart.png
2026-06-18 12:57:27 | INFO     | categorical_analyzer | Bar chart saved for 'CustomerID': E:\DecodeLabs_Internship\application\backend\visualizations\categorical\CustomerID_bar_chart.png
2026-06-18 12:57:27 | INFO     | categorical_analyzer | Bar chart saved for 'Product': E:\DecodeLabs_Internship\application\backend\visualizations\categorical\Product_bar_chart.png
2026-06-18 12:57:28 | INFO     | categorical_analyzer | Pie chart saved for 'Product': E:\DecodeLabs_Internship\application\backend\visualizations\categorical\Product_pie_chart.png
2026-06-18 12:57:28 | INFO     | categorical_analyzer | Bar chart saved for 'ShippingAddress': E:\DecodeLabs_Internship\application\backend\visualizations\categorical\ShippingAddress_bar_chart.png
2026-06-18 12:57:29 | INFO     | categorical_analyzer | Bar chart saved for 'PaymentMethod': E:\DecodeLabs_Internship\application\backend\visualizations\categorical\PaymentMethod_bar_chart.png
2026-06-18 12:57:29 | INFO     | categorical_analyzer | Pie chart saved for 'PaymentMethod': E:\DecodeLabs_Internship\application\backend\visualizations\categorical\PaymentMethod_pie_chart.png
2026-06-18 12:57:29 | INFO     | categorical_analyzer | Bar chart saved for 'OrderStatus': E:\DecodeLabs_Internship\application\backend\visualizations\categorical\OrderStatus_bar_chart.png
2026-06-18 12:57:30 | INFO     | categorical_analyzer | Pie chart saved for 'OrderStatus': E:\DecodeLabs_Internship\application\backend\visualizations\categorical\OrderStatus_pie_chart.png
2026-06-18 12:57:30 | INFO     | categorical_analyzer | Bar chart saved for 'TrackingNumber': E:\DecodeLabs_Internship\application\backend\visualizations\categorical\TrackingNumber_bar_chart.png
2026-06-18 12:57:31 | INFO     | categorical_analyzer | Bar chart saved for 'CouponCode': E:\DecodeLabs_Internship\application\backend\visualizations\categorical\CouponCode_bar_chart.png
2026-06-18 12:57:31 | INFO     | categorical_analyzer | Pie chart saved for 'CouponCode': E:\DecodeLabs_Internship\application\backend\visualizations\categorical\CouponCode_pie_chart.png
2026-06-18 12:57:31 | INFO     | categorical_analyzer | Bar chart saved for 'ReferralSource': E:\DecodeLabs_Internship\application\backend\visualizations\categorical\ReferralSource_bar_chart.png
2026-06-18 12:57:31 | INFO     | categorical_analyzer | Pie chart saved for 'ReferralSource': E:\DecodeLabs_Internship\application\backend\visualizations\categorical\ReferralSource_pie_chart.png
2026-06-18 12:57:32 | INFO     | categorical_analyzer | Bar chart saved for 'Quantity': E:\DecodeLabs_Internship\application\backend\visualizations\categorical\Quantity_bar_chart.png
2026-06-18 12:57:32 | INFO     | categorical_analyzer | Pie chart saved for 'Quantity': E:\DecodeLabs_Internship\application\backend\visualizations\categorical\Quantity_pie_chart.png
2026-06-18 12:57:33 | INFO     | categorical_analyzer | Bar chart saved for 'ItemsInCart': E:\DecodeLabs_Internship\application\backend\visualizations\categorical\ItemsInCart_bar_chart.png
2026-06-18 12:57:33 | INFO     | categorical_analyzer | Pie chart saved for 'ItemsInCart': E:\DecodeLabs_Internship\application\backend\visualizations\categorical\ItemsInCart_pie_chart.png
2026-06-18 12:57:33 | INFO     | categorical_analyzer | Categorical analysis complete for 11 columns
2026-06-18 12:57:33 | INFO     | categorical_analyzer | Categorical summary saved to: E:\DecodeLabs_Internship\application\backend\reports\eda\categorical_summary.csv
2026-06-18 12:57:33 | INFO     | eda_pipeline    | [EDA] Step 'Categorical Analysis' completed - Categorical summary saved to reports/eda/categorical_summary.csv
2026-06-18 12:57:33 | INFO     | eda_pipeline    | [EDA] Step 'Trend Analysis' started
2026-06-18 12:57:33 | INFO     | trend_analyzer  | Identified 1 date columns: ['Date']
2026-06-18 12:57:33 | INFO     | trend_analyzer  | Starting trend analysis...
2026-06-18 12:57:33 | INFO     | trend_analyzer  | Daily trends calculated for 'Quantity': 671 days
2026-06-18 12:57:33 | INFO     | trend_analyzer  | Daily trends calculated for 'UnitPrice': 671 days
2026-06-18 12:57:33 | INFO     | trend_analyzer  | Daily trends calculated for 'ItemsInCart': 671 days
2026-06-18 12:57:33 | INFO     | trend_analyzer  | Daily trends calculated for 'TotalPrice': 671 days
2026-06-18 12:57:33 | INFO     | trend_analyzer  | Monthly trends calculated for 'Quantity': 30 months
2026-06-18 12:57:33 | INFO     | trend_analyzer  | Monthly trends calculated for 'UnitPrice': 30 months
2026-06-18 12:57:33 | INFO     | trend_analyzer  | Monthly trends calculated for 'ItemsInCart': 30 months
2026-06-18 12:57:33 | INFO     | trend_analyzer  | Monthly trends calculated for 'TotalPrice': 30 months
2026-06-18 12:57:33 | INFO     | trend_analyzer  | Weekly trends calculated for 'Quantity': 52 weeks
